Number,Latitude,Longitude,Title,Short_Desc,Image_Url,Cost,Size,Category,Date,Occupant
80,58.4515261,-135.8931176,70952,CA - Campground Outhouse GBA37,http://akrgis.nps.gov/apps/buildings/photos/thumbs/70952_2012-10-03_02-17-28_PM_thm.jpg,"$10,651","16 Sq Ft",Comfort Station,"1984",NPS
81,58.45069808,-135.8935007,70948,CA - Campground Food Cache GBA25,http://akrgis.nps.gov/apps/buildings/photos/thumbs/70948_2012-10-03_02-53-46_PM_thm.jpg,"$10,628","unknown",Shed/Outbuild,"1984",NPS
82,58.44999232,-135.8949849,70953,CA - Campground Outhouse GBA38,http://akrgis.nps.gov/apps/buildings/photos/thumbs/70953_2012-10-03_03-03-38_PM_thm.jpg,"$10,651","16 Sq Ft",Comfort Station,"1984",NPS
83,58.44946702,-135.8955,70949,CA - Campground Food Cache GBA26,http://akrgis.nps.gov/apps/buildings/photos/thumbs/70949_2012-10-03_03-14-50_PM_thm.jpg,"$10,628","unknown",Shed/Outbuild,"1983",NPS
84,58.45513043,-135.8886295,78848,UC - Fuel Dock Operator Booth GBA34,http://akrgis.nps.gov/apps/buildings/photos/thumbs/78848_2012-09-01_06-33-18_AM_thm.jpg,"$19,824","64 Sq Ft",Transport Bldg,"1981",NPS
85,58.45507855,-135.8887038,78278,UC - Fuel Dock Dispenser Shelter GBA91,http://akrgis.nps.gov/apps/buildings/photos/thumbs/78278_2012-09-01_06-29-38_AM_thm.jpg,"$6,593","40 Sq Ft",Chemical,"1999",NPS
86,58.4546534,-135.8882967,78852,UC - Fuel Dock Boom Building GBA86,http://akrgis.nps.gov/apps/buildings/photos/thumbs/78852_2012-08-16_08-12-43_PM_thm.jpg,"$29,431","144 Sq Ft",Shed/Outbuild,"1993",NPS
87,58.45477353,-135.8884385,78851,UC - Fuel Dock Fuel Hose Building GBA84,http://akrgis.nps.gov/apps/buildings/photos/thumbs/78851_2012-08-16_08-09-50_PM_thm.jpg,"$6,540","unknown",Shed/Outbuild,"1999",NPS
88,58.45269221,-135.8813723,42724,LH - Lodge Admin / Staff Building GBL71,http://akrgis.nps.gov/apps/buildings/photos/thumbs/42724_2012-08-18_12-56-30_AM_thm.jpg,"$1,054,583","2,290 Sq Ft",Administrative,"1990",CONCESSION
89,58.4529074,-135.8819588,84218,LH - Lodge Staff Dormitory Building GBQ58,http://akrgis.nps.gov/apps/buildings/photos/thumbs/84218_2012-08-18_12-38-55_AM_thm.jpg,"$648,078","1,920 Sq Ft",Housing-Multi-Unit,"1976",CONCESSION
90,58.45311057,-135.8821084,84216,LH - Lodge Staff Dormitory Building GBQ57,http://akrgis.nps.gov/apps/buildings/photos/thumbs/84216_2012-08-18_12-19-56_AM_thm.jpg,"$584,070","1,728 Sq Ft",Housing-Multi-Unit,"1976",CONCESSION
91,58.45304612,-135.8816784,84205,LH - Lodge Staff Dormitory Building GBQ56,http://akrgis.nps.gov/apps/buildings/photos/thumbs/84205_2012-08-18_12-09-45_AM_thm.jpg,"$584,070","1,932 Sq Ft",Housing-Multi-Unit,"1978",CONCESSION
92,58.45248069,-135.887797,94390,UC - Polishing Filter Shed GBA117,http://akrgis.nps.gov/apps/buildings/photos/thumbs/94390_2012-08-17_12-43-54_AM_thm.jpg,"$8,452","44 Sq Ft",Shed/Outbuild,"2003",NPS
93,58.45798955,-135.8736323,42622,HQ - Headquarters Island Cabin GBQ01,http://akrgis.nps.gov/apps/buildings/photos/thumbs/42622_2012-10-03_10-00-15_AM_thm.jpg,"$136,901","396 Sq Ft",Shed/Outbuild,"1947",NPS
94,58.45241861,-135.8698654,231539,TA - Water Tank Utility Manhole Cover Shed GBA128,http://akrgis.nps.gov/apps/buildings/photos/thumbs/231539_2012-06-21_09-30-15_AM_thm.jpg,"$9,220","48 Sq Ft",Shed/Outbuild,"2010",NPS
