Number,Latitude,Longitude,Title,Short_Desc,Image_Url,Cost,Size,Status,Category,Date,Occupant,Name,ParkName
40,58.55579201171872,-155.77929490559896,88534,KATMAILAND BC Brooks Lodge Guest Cabin #27,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/KATM/88534.jpg,"$66,026",189 Sq Ft,OPERATING,Housing-Single Family,1961,CONCESSION,KATMAILAND BC Brooks Lodge Guest Cabin #27,
41,58.55594185221355,-155.77949777777778,88536,KATMAILAND BC Employee Cabin (chef),http://akrgis.nps.gov/apps/bldgs/photos/thumbs/KATM/88536.jpg,"$53,425",139 Sq Ft,OPERATING,Housing-Single Family,1986,CONCESSION,KATMAILAND BC Employee Cabin (chef),
42,58.55568454861111,-155.77895355685763,88532,KATMAILAND BC Brooks Lodge Guest Cabin #25,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/KATM/88532.jpg,"$66,026",211 Sq Ft,OPERATING,Housing-Single Family,1961,CONCESSION,KATMAILAND BC Brooks Lodge Guest Cabin #25,
43,58.555598488498276,-155.77880904079862,88531,KATMAILAND BC Brooks Lodge Guest Cabin #24,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/KATM/88531.jpg,"$66,026",189 Sq Ft,OPERATING,Housing-Single Family,1961,CONCESSION,KATMAILAND BC Brooks Lodge Guest Cabin #24,
44,58.55555974283857,-155.7785638878038,88527,KATMAILAND BC Guest Shower/Restroom,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/KATM/88527.jpg,"$176,943",320 Sq Ft,OPERATING,Comfort Station,1961,CONCESSION,KATMAILAND BC Guest Shower/Restroom,
45,58.55586088216148,-155.7783323220486,88530,KATMAILAND BC Brooks Lodge Guest Cabin #23,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/KATM/88530.jpg,"$66,026",189 Sq Ft,OPERATING,Housing-Single Family,1961,CONCESSION,KATMAILAND BC Brooks Lodge Guest Cabin #23,
46,58.55575738389757,-155.7782884483507,88529,KATMAILAND BC Brooks Lodge Guest Cabin #22,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/KATM/88529.jpg,"$66,026",211 Sq Ft,OPERATING,Housing-Single Family,1961,CONCESSION,KATMAILAND BC Brooks Lodge Guest Cabin #22,
47,58.55566393012151,-155.77822652235244,88528,KATMAILAND BC Brooks Lodge Guest Cabin #21,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/KATM/88528.jpg,"$66,026",189 Sq Ft,OPERATING,Housing-Single Family,1961,CONCESSION,KATMAILAND BC Brooks Lodge Guest Cabin #21,
48,58.555452976345464,-155.77818981336804,88523,KATMAILAND BC Brooks Lodge /Dining Kitchen,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/KATM/88523.jpg,"$1,119,057","2,696 Sq Ft",OPERATING,Restaurant,1961,CONCESSION,KATMAILAND BC Brooks Lodge /Dining Kitchen,
49,58.555204663628444,-155.77803877604165,88525,KATMAILAND BC  Brooks Lodge Office and Store,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/KATM/88525.jpg,"$338,551",781 Sq Ft,OPERATING,Administrative,1956,CONCESSION,KATMAILAND BC Brooks Lodge Office and Store,
50,58.36864239040801,-155.38328452039931,91554,VR-3F/RR Three Forks Overlook Comfort Station,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/KATM/91554.jpg,"$36,982",87 Sq Ft,OPERATING,Comfort Station,1996,NPS,VR-3F/RR Three Forks Overlook Comfort Station,
